"PUBLICATION DATE","REFERENCE YEAR","INDUSTRY","UNIT","FORECAST VALUE","REVISION REASON"
"20210114","2021","Wholesale & Retail Trade","Thousands of Jobs","449.3",
"20210114","2021","Transportation & Utilities","Thousands of Jobs","129.7",
"20210114","2021","Construction","Thousands of Jobs","153",
"20210114","2021","Manufacturing","Thousands of Jobs","54.3",
"20210114","2021","Other Services","Thousands of Jobs","175.7",
"20210114","2021","Government","Thousands of Jobs","578.9",
"20210426","2020","Total","Thousands of Jobs","4,133.5",
"20210426","2020","Private","Thousands of Jobs","3,545.5",
"20210426","2020","Financial Activities","Thousands of Jobs","469.8",
"20210426","2020","Securities","Thousands of Jobs","179.9",
"20210426","2020","Professional & Business Services","Thousands of Jobs","709.4",
"20210426","2020","Information","Thousands of Jobs","206.8",
"20210426","2020","Education","Thousands of Jobs","234.8",
"20210426","2020","Health & Social Services","Thousands of Jobs","769.6",
"20210426","2020","Leisure & Hospitality","Thousands of Jobs","271.8",
"20210426","2020","Wholesale & Retail Trade","Thousands of Jobs","407.3",
"20210426","2020","Transportation & Utilities","Thousands of Jobs","127",
"20210426","2020","Construction","Thousands of Jobs","138",
"20210426","2020","Manufacturing","Thousands of Jobs","53",
"20210426","2020","Other Services","Thousands of Jobs","158.1",
"20210426","2020","Government","Thousands of Jobs","588",
"20210426","2021","Total","Thousands of Jobs","4,284.8",
"20210426","2021","Private","Thousands of Jobs","3,697.7",
"20210426","2021","Financial Activities","Thousands of Jobs","473.4",
"20210426","2021","Securities","Thousands of Jobs","189.1",
"20210426","2021","Professional & Business Services","Thousands of Jobs","763.4",
"20210426","2021","Information","Thousands of Jobs","210.8",
"20210426","2021","Education","Thousands of Jobs","234.1",
"20210426","2021","Health & Social Services","Thousands of Jobs","789.1",
"20210426","2021","Leisure & Hospitality","Thousands of Jobs","301.4",
"20210426","2021","Wholesale & Retail Trade","Thousands of Jobs","422.6",
"20210426","2021","Transportation & Utilities","Thousands of Jobs","136.9",
"20210426","2021","Construction","Thousands of Jobs","145.1",
"20210426","2021","Manufacturing","Thousands of Jobs","54.8",
"20210426","2021","Other Services","Thousands of Jobs","163.2",
"20210426","2021","Government","Thousands of Jobs","590.7",
"20210426","2022","Total","Thousands of Jobs","4,577.3",
"20210426","2022","Private","Thousands of Jobs","3,987.7",
"20210426","2022","Financial Activities","Thousands of Jobs","490.3",
"20210426","2022","Securities","Thousands of Jobs","198.3",
"20210426","2022","Professional & Business Services","Thousands of Jobs","824.8",
"20210426","2022","Information","Thousands of Jobs","223.9",
"20210426","2022","Education","Thousands of Jobs","246.7",
"20210426","2022","Health & Social Services","Thousands of Jobs","813.7",
"20210426","2022","Leisure & Hospitality","Thousands of Jobs","394.5",
"20210426","2022","Wholesale & Retail Trade","Thousands of Jobs","458",
"20210426","2022","Transportation & Utilities","Thousands of Jobs","147.7",
"20210426","2022","Construction","Thousands of Jobs","152.3",
"20210426","2022","Manufacturing","Thousands of Jobs","57",
"20210426","2022","Other Services","Thousands of Jobs","175.2",
"20210426","2022","Government","Thousands of Jobs","593.9",
"20220216","2020","Total","Thousands of Jobs","4,133.5",
"20220216","2020","Private","Thousands of Jobs","3,545.5",
"20220216","2020","Financial Activities","Thousands of Jobs","469.8",
"20220216","2020","Securities","Thousands of Jobs","179.9",
"20220216","2020","Professional & Business Services","Thousands of Jobs","709.4",
"20220216","2020","Information","Thousands of Jobs","206.8",
"20220216","2020","Education","Thousands of Jobs","234.8",
"20220216","2020","Health & Social Services","Thousands of Jobs","769.6",
"20220216","2020","Leisure & Hospitality","Thousands of Jobs","271.8",
"20220216","2020","Wholesale & Retail Trade","Thousands of Jobs","407.3",
"20220216","2020","Transportation & Utilities","Thousands of Jobs","127",
"20220216","2020","Construction","Thousands of Jobs","138",
"20220216","2020","Manufacturing","Thousands of Jobs","53",
"20220216","2020","Other Services","Thousands of Jobs","158.1",
"20220216","2020","Government","Thousands of Jobs","588",
